"","num_collisions","temp","visib","wdsp","prcp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","year_2019","year_2020","year_2021","year_2022","no_v","one_v","two_v","three_v","four_v","five_v","day_of_week","isMon","isTue","isWed","isThur","isFri","isSat","isSun","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","day"
"92",307,44.7,10,7.6,0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,263,13,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
"93",344,43.2,10,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,281,14,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
"94",479,42.3,10,5.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,407,20,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
"95",514,36.6,10,4.8,0.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,426,25,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
"96",718,37.1,7.3,10.1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,111,571,32,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
"97",444,48,7.9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47,368,18,6,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10
"98",526,54.7,7,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,418,28,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
"99",547,56.7,7.4,2.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,438,33,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
"100",648,52.4,8.8,6.1,0.06,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,539,31,7,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
"101",623,40.4,10,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67,532,20,3,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
"102",672,41.9,9.7,5.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,572,39,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16
"103",542,43.6,10,4.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,440,34,5,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17
"104",446,43.2,9.8,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,367,27,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18
"105",585,43,10,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,498,31,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19
"106",671,44.4,10,3.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68,570,27,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20
"107",689,46.5,10,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,597,28,7,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21
"108",384,47.3,10,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,316,29,6,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22
"109",481,48.3,8.9,3.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,407,18,4,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23
"110",458,44.1,9.5,7.6,0.01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,386,27,4,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24
"111",415,36.6,10,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,346,30,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25
"112",563,40.3,10,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,476,31,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26
"113",583,38.7,7,4.4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81,476,24,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
"114",515,37.5,9.7,5.8,0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,428,24,6,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29
"115",576,41.3,9.3,4.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63,482,28,2,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30
"116",480,38.5,9.3,9.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,390,30,9,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"117",455,44.3,3.9,3,0.08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,355,29,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"118",621,53.5,7,3.9,0.04,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,529,31,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"119",621,51.9,5.6,2.9,0.04,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,511,38,7,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"120",514,52.6,9.1,6.3,0.01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,417,26,5,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
"121",620,35,10,3.6,0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,526,30,10,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"122",714,38.8,7.9,1.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110,563,35,3,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
"123",550,40.1,10,3.3,0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,466,26,5,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
"124",545,40.3,10,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,455,23,5,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
"125",648,41.4,10,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,73,527,41,3,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14
"126",523,42.6,9.9,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,427,32,3,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15
