collision_date,NUM_COLLISIONS,vehicle_1,vehicle_2,vehicle_3,vehicle_4,vehicle_5
2013-11-25,710,710,647,33,4,0
2013-11-23,536,536,469,44,11,4
2013-11-16,612,612,535,40,9,2
2013-11-29,437,436,392,22,4,1
2013-11-07,646,646,567,53,11,0
2013-11-06,635,633,556,31,5,3
2013-11-05,510,509,457,41,6,1
2013-08-30,599,599,545,57,17,3
2013-11-01,710,710,614,52,14,2
2013-10-15,615,614,537,41,7,1
2013-10-11,621,621,550,42,5,4
2013-10-09,529,529,480,36,7,2
2013-10-21,616,614,536,41,6,0
2013-10-14,440,440,389,34,4,2
2013-10-10,559,559,488,30,5,2
2013-10-20,490,490,429,31,4,2
2013-10-24,632,631,564,36,6,2
2013-10-13,502,501,448,63,13,5
2013-10-27,512,511,455,38,5,1
2013-10-12,556,554,495,43,6,1
2013-10-18,680,679,586,57,12,4
2013-09-21,546,546,479,37,7,1
2013-09-30,605,604,540,39,11,4
2013-09-24,615,614,533,35,9,2
2013-09-22,585,583,510,42,5,0
2013-10-02,647,647,574,41,4,0
2013-10-06,404,404,346,37,10,3
2013-09-25,539,537,476,29,5,1
2013-10-05,497,496,443,44,9,3
2013-09-13,652,651,576,43,1,0
2013-09-26,516,514,448,30,8,1
2018-08-02,722,718,618,38,5,2
2018-06-25,733,730,643,52,16,4
2018-07-26,606,604,534,39,8,2
2018-07-12,642,640,570,50,10,4
2018-07-13,726,724,628,40,3,0
2018-07-25,657,655,567,38,9,5
2018-05-29,809,804,709,48,19,4
2018-05-11,805,805,697,46,9,2
2018-04-22,568,567,491,49,9,1
2018-05-01,713,712,620,34,6,3
2018-04-21,584,584,515,39,12,1
2018-03-26,710,708,616,44,6,0
2018-03-03,609,609,507,42,14,5
2018-03-12,679,678,569,34,6,1
2018-03-24,550,549,470,37,7,2
2018-03-11,465,464,392,26,7,3
2018-01-29,531,529,441,24,3,1
2018-02-14,671,666,571,35,5,0
2018-02-05,706,702,591,36,6,2
2018-02-01,594,593,506,43,13,6
2013-09-20,631,631,548,36,8,1
2013-09-18,571,571,507,38,10,2
2013-08-15,599,599,542,38,5,1
2013-08-16,678,675,605,54,10,3
2013-08-19,462,461,412,26,3,1
2013-08-31,480,477,409,36,8,2
2013-09-03,551,550,502,35,4,0
2013-09-05,493,493,431,17,4,0
