"","num_collisions","temp","visib","wdsp","prcp","fog","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","year_2019","year_2020","year_2021","year_2022","no_v","one_v","two_v","three_v","four_v","five_v","day_of_week_1","day_of_week_2","day_of_week_3","day_of_week_4","day_of_week_5","day_of_week_6","day_of_week_7","isMon","isTue","isWed","isThur","isFri","isSat","isSun","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","day"
"61",618,72,10,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,532,24,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30
"62",701,78.7,9.9,3.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,585,41,13,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,31
"63",515,81.6,9.9,4.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47,422,33,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"64",421,75.4,9.8,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,352,22,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"65",373,73.8,10,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,301,25,6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"66",606,72.6,8.8,4.7,0.02,0,1,0,0,0,0,0,0,0,0,0,0,0,72,486,38,7,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
"67",601,75.2,6.7,5.4,0.13,0,1,0,0,0,0,0,0,0,0,0,0,0,49,506,35,8,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
"68",572,73.2,9.7,2.3,0.59,0,1,0,0,0,0,0,0,0,0,0,0,0,43,499,19,8,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
"69",680,77,8.7,2.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,577,38,6,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7
"70",598,75.3,8.8,5.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,73,487,32,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8
"71",464,68.4,9.5,3,0.04,0,1,0,0,0,0,0,0,0,0,0,0,0,58,370,27,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
"72",637,65.4,10,5.7,0.16,0,1,0,0,0,0,0,0,0,0,0,0,0,52,546,32,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
"73",521,62.8,10,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,448,25,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11
"74",651,68.5,10,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,560,31,9,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12
"75",632,70.4,10,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,540,27,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13
"76",609,70.5,9.7,2.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,509,32,10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14
"77",557,67.2,10,5.1,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0,44,479,21,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15
"78",458,65.1,10,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,393,28,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16
"79",452,66.5,10,2.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,368,25,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17
"80",556,70.6,7.6,5.5,0.11,1,1,0,0,0,0,0,0,0,0,0,0,0,129,393,24,7,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18
"81",612,66.7,7.6,6.3,0.68,0,1,0,0,0,0,0,0,0,0,0,0,0,67,501,34,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19
"82",522,61,10,4.6,0.04,0,1,0,0,0,0,0,0,0,0,0,0,0,42,446,24,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20
"83",654,64.7,10,4.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,554,34,9,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21
"84",547,66.3,8.1,5.6,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0,67,439,33,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,22
"85",480,63.8,9,6.4,0.22,0,1,0,0,0,0,0,0,0,0,0,0,0,56,390,29,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23
"86",562,59,10,3.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,478,25,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24
"87",594,62,10,4.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,486,31,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25
"88",404,67.7,10,4.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,335,17,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26
"89",620,69,8.7,1.8,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0,57,527,28,5,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27
"90",703,65.2,5.9,5.1,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,81,576,35,7,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,28
"91",485,62.4,7.6,3.9,0.37,1,1,0,0,0,0,0,0,0,0,0,0,0,41,411,27,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,29
"92",449,60.5,9.5,3.9,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,35,376,28,7,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30
"93",555,60.6,10,4.7,0.46,0,1,0,0,0,0,0,0,0,0,0,0,0,53,474,24,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"94",593,63.7,7.3,2.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,497,29,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"95",502,65.6,1.5,3.5,0.45,1,1,0,0,0,0,0,0,0,0,0,0,0,48,416,32,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"96",554,68.6,2.9,2.2,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,48,479,21,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"97",693,67.8,8.4,3.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,570,46,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"98",500,66.1,7,5.2,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,52,411,31,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6
"99",481,52.5,9.3,2,0.04,0,1,0,0,0,0,0,0,0,0,0,0,0,74,378,17,5,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
"100",376,49.9,9,3.5,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,38,312,20,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
"101",570,53.8,8.5,5.6,0.46,0,1,0,0,0,0,0,0,0,0,0,0,0,57,475,35,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
"102",640,58.2,7.5,5.2,0.03,0,1,0,0,0,0,0,0,0,0,0,0,0,75,525,34,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
"103",657,53.4,10,5.5,0.02,0,1,0,0,0,0,0,0,0,0,0,0,0,74,538,36,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
"104",594,51.2,10,5.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,494,30,7,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12
"105",547,45.2,10,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,457,33,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13
"106",517,58.7,10,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,426,28,11,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
"107",607,65.3,9.4,4.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,508,38,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
"108",602,55.8,9.9,5.8,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,71,492,33,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
"109",615,51.9,10,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,497,43,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
"110",630,56.8,9.7,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,532,38,5,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
"111",738,63.2,6.1,5.2,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,77,615,39,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,19
"112",587,62.7,5,6.3,0.13,1,1,0,0,0,0,0,0,0,0,0,0,0,58,490,32,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20
"113",426,56.5,10,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,342,34,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21
"114",609,57.8,10,4.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,518,27,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
"115",522,59,9.7,2.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,452,16,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23
"116",494,57.1,6.4,4.1,0.07,0,1,0,0,0,0,0,0,0,0,0,0,0,56,401,28,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
"117",511,58,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,426,28,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25
